image_size_mb,strategy,policy,num_sats,total_in_view,connected_when_in_view,missed_when_in_view,connection_efficiency,missed_opportunity_rate
28.0,frame-spaced,random,200,112575,2714,109861,2.410837219631357,97.58916278036864
28.0,orbit-spaced,sticky,1,1673,1673,0,100.0,0.0
28.0,orbit-spaced,fifo,1,1673,1673,0,100.0,0.0
28.0,orbit-spaced,roundrobin,1,1673,1673,0,100.0,0.0
28.0,orbit-spaced,random,1,1673,1673,0,100.0,0.0
28.0,orbit-spaced,sticky,50,41489,21597,19892,52.054761503048994,47.945238496951
28.0,orbit-spaced,fifo,50,41489,21597,19892,52.054761503048994,47.945238496951
28.0,orbit-spaced,roundrobin,50,41477,21582,19895,52.03365720760904,47.96634279239097
28.0,orbit-spaced,random,50,41489,21597,19892,52.054761503048994,47.945238496951
28.0,orbit-spaced,sticky,100,68572,21597,46975,31.49536253864551,68.50463746135449
28.0,orbit-spaced,fifo,100,68572,21597,46975,31.49536253864551,68.50463746135449
28.0,orbit-spaced,roundrobin,100,68573,21600,46973,31.499278141542593,68.50072185845741
28.0,orbit-spaced,random,100,68572,21597,46975,31.49536253864551,68.50463746135449
28.0,orbit-spaced,sticky,200,122743,21597,101146,17.59530075034829,82.40469924965171
28.0,orbit-spaced,fifo,200,122743,21597,101146,17.59530075034829,82.40469924965171
28.0,orbit-spaced,roundrobin,200,122744,21600,101144,17.597601512090204,82.4023984879098
28.0,orbit-spaced,random,200,122743,21597,101146,17.59530075034829,82.40469924965171
