image_size_mb,policy,num_sats,orbital_spacing_deg,data_downloaded_gb
1024.0,fifo,20,18.0,306.9908408701172
1024.0,roundrobin,20,18.0,304.90346371386715
1024.0,random,20,18.0,306.9908408701172
1024.0,sticky,25,14.4,301.1688067861328
1024.0,fifo,25,14.4,301.1688067861328
1024.0,roundrobin,25,14.4,300.79562994433593
1024.0,random,25,14.4,301.15088027246094
1024.0,sticky,50,7.2,276.86226492871094
1024.0,fifo,50,7.2,274.92981523144533
1024.0,roundrobin,50,7.2,275.5732903994141
1024.0,random,50,7.2,299.2363443769531
1024.0,sticky,100,3.6,265.12377896875
1024.0,fifo,100,3.6,262.2765632802734
1024.0,roundrobin,100,3.6,263.5674271523438
1024.0,random,100,3.6,298.77109161523435
1024.0,sticky,200,1.8,259.811001897461
1024.0,fifo,200,1.8,256.5389066835937
1024.0,roundrobin,200,1.8,257.8795837412109
1024.0,random,200,1.8,298.6881708447265
